district,state,point_id,latitude,longitude,elevation_m,slope_degrees,aspect_degrees,slope_direction,terrain_type,flood_risk_elevation,landslide_risk,land_cover,soil_type,drainage_density
Akola,Maharashtra,AKO_002,20.4181,76.7806,231.3,7.0,172.7,South,Hillside,High,Low,Forest,Black Cotton,3.24
Akola,Maharashtra,AKO_003,20.6201,76.7469,529.2,6.9,139.4,South,Peak,Moderate,Low,Forest,Sandy,3.31
Akola,Maharashtra,AKO_004,20.6005,77.1206,268.5,3.9,86.3,East,Hillside,High,Low,Water Body,Sandy,0.97
Akola,Maharashtra,AKO_005,20.4362,77.1812,331.4,3.7,220.2,South,Hillside,High,Low,Agricultural,Alluvial,1.17
Akola,Maharashtra,AKO_006,20.5161,77.2554,285.7,6.4,355.3,North,Hillside,High,Low,Forest,Alluvial,3.44
Akola,Maharashtra,AKO_007,20.5812,77.2256,517.0,4.0,190.3,South,Peak,Moderate,Low,Barren,Alluvial,1.5
Akola,Maharashtra,AKO_008,20.8591,77.2993,290.3,5.1,335.2,North,Hillside,High,Low,Agricultural,Alluvial,0.69
Akola,Maharashtra,AKO_009,20.7059,76.7865,377.3,5.6,210.6,South,Peak,High,Low,Agricultural,Rocky,2.62
Akola,Maharashtra,AKO_010,20.9923,76.8453,210.0,3.7,350.6,North,Hillside,High,Low,Agricultural,Rocky,3.65
Akola,Maharashtra,AKO_011,20.5718,76.7627,326.6,2.5,309.1,West,Hillside,High,Low,Forest,Rocky,4.5
Akola,Maharashtra,AKO_012,20.6576,77.2131,314.5,5.8,178.9,South,Hillside,High,Low,Forest,Alluvial,0.85
Akola,Maharashtra,AKO_013,20.7966,76.7224,301.4,7.0,200.0,South,Hillside,High,Low,Urban,Alluvial,4.08
Akola,Maharashtra,AKO_014,20.8634,76.7843,320.1,4.6,53.7,East,Hillside,High,Low,Agricultural,Red Laterite,0.76
Akola,Maharashtra,AKO_015,20.4642,76.9778,384.0,7.3,59.7,East,Peak,High,Low,Barren,Alluvial,4.4
Akola,Maharashtra,AKO_016,20.7805,76.9673,239.5,2.7,304.4,West,Hillside,High,Low,Agricultural,Alluvial,2.23
Akola,Maharashtra,AKO_017,20.8425,76.8337,378.4,3.7,342.7,North,Peak,High,Low,Agricultural,Black Cotton,4.0
Akola,Maharashtra,AKO_018,20.8063,76.7904,435.9,5.8,177.6,South,Peak,Moderate,Low,Barren,Alluvial,1.59
Akola,Maharashtra,AKO_019,20.912,76.9346,291.7,6.2,274.2,West,Hillside,High,Low,Agricultural,Black Cotton,3.85
Akola,Maharashtra,AKO_020,20.4777,76.8098,350.5,5.4,191.6,South,Hillside,High,Low,Agricultural,Alluvial,3.47
Akola,Maharashtra,AKO_021,20.9534,76.8507,451.5,3.8,166.2,South,Peak,Moderate,Low,Forest,Sandy,1.38
Akola,Maharashtra,AKO_022,20.6627,77.0433,264.3,2.8,186.8,South,Hillside,High,Low,Urban,Sandy,2.43
Akola,Maharashtra,AKO_023,20.5387,77.0874,376.0,2.6,188.0,South,Peak,High,Low,Agricultural,Sandy,1.63
Akola,Maharashtra,AKO_024,20.7096,76.9765,262.7,6.1,246.6,West,Hillside,High,Low,Agricultural,Rocky,0.97
Akola,Maharashtra,AKO_025,20.5885,76.9671,423.1,6.5,150.9,South,Peak,Moderate,Low,Forest,Alluvial,1.64
Akola,Maharashtra,AKO_026,20.8169,76.7348,307.5,5.9,345.6,North,Hillside,High,Low,Urban,Alluvial,1.86
Akola,Maharashtra,AKO_027,20.9836,76.7674,313.7,6.6,328.7,North,Hillside,High,Low,Forest,Alluvial,3.96
Akola,Maharashtra,AKO_028,20.4907,76.7692,238.4,5.6,22.8,North,Hillside,High,Low,Forest,Alluvial,1.46
Akola,Maharashtra,AKO_029,20.4423,77.18,275.9,6.4,300.1,West,Hillside,High,Low,Forest,Red Laterite,2.06
Akola,Maharashtra,AKO_030,20.8324,76.9426,292.1,4.2,231.0,West,Hillside,High,Low,Agricultural,Red Laterite,3.18
Amravati,Maharashtra,AMR_001,21.0042,77.8605,514.1,6.3,298.5,West,Peak,Moderate,Low,Agricultural,Alluvial,4.43
Amravati,Maharashtra,AMR_002,20.669,77.7221,366.1,5.5,267.1,West,Hillside,High,Low,Forest,Sandy,3.37
Amravati,Maharashtra,AMR_003,20.8012,77.9759,385.9,6.1,2.1,North,Hillside,High,Low,Barren,Red Laterite,3.73
Amravati,Maharashtra,AMR_004,20.7305,77.9015,422.1,5.8,85.8,East,Peak,Moderate,Low,Agricultural,Black Cotton,1.52
Amravati,Maharashtra,AMR_005,20.7882,77.9942,317.9,6.5,150.1,South,Hillside,High,Low,Urban,Rocky,1.71
Amravati,Maharashtra,AMR_006,20.7262,77.933,304.0,8.4,166.8,South,Hillside,High,Low,Water Body,Rocky,0.79
Amravati,Maharashtra,AMR_007,21.2191,77.7858,465.9,7.2,203.2,South,Peak,Moderate,Low,Agricultural,Red Laterite,2.89
Amravati,Maharashtra,AMR_008,20.8079,77.605,327.7,14.7,135.1,South,Hillside,High,Moderate,Water Body,Red Laterite,2.15
Amravati,Maharashtra,AMR_009,21.0248,78.0003,295.4,6.2,327.3,North,Hillside,High,Low,Forest,Red Laterite,4.27
Amravati,Maharashtra,AMR_010,21.011,77.8206,364.2,6.5,353.1,North,Hillside,High,Low,Forest,Sandy,0.99
Amravati,Maharashtra,AMR_011,20.9501,77.843,325.6,8.4,88.4,East,Hillside,High,Low,Agricultural,Sandy,3.1
Amravati,Maharashtra,AMR_012,20.9289,78.0312,473.7,3.1,197.8,South,Peak,Moderate,Low,Forest,Alluvial,2.84
Amravati,Maharashtra,AMR_013,21.069,77.6449,339.1,6.8,245.5,West,Hillside,High,Low,Forest,Alluvial,2.11
Amravati,Maharashtra,AMR_014,21.0695,77.9854,256.1,1.1,134.0,East,Hillside,High,Low,Agricultural,Black Cotton,2.21
Amravati,Maharashtra,AMR_015,20.8543,77.9877,327.5,2.6,174.9,South,Hillside,High,Low,Agricultural,Alluvial,1.49
Amravati,Maharashtra,AMR_016,21.0137,77.6359,293.3,1.8,211.5,South,Hillside,High,Low,Agricultural,Red Laterite,2.03
Amravati,Maharashtra,AMR_017,20.8751,77.5827,600.7,5.8,201.6,South,Peak,Moderate,Low,Forest,Rocky,0.51
Amravati,Maharashtra,AMR_018,21.2216,78.0385,123.6,3.9,231.5,West,Valley,High,Low,Urban,Rocky,3.97
Amravati,Maharashtra,AMR_019,20.6688,77.6303,312.8,1.5,10.8,North,Hillside,High,Low,Forest,Sandy,2.23
Amravati,Maharashtra,AMR_020,20.7281,77.5154,273.3,7.1,95.8,East,Hillside,High,Low,Forest,Sandy,3.17
Amravati,Maharashtra,AMR_021,20.9797,77.521,289.6,5.9,83.9,East,Hillside,High,Low,Urban,Black Cotton,3.08
Amravati,Maharashtra,AMR_022,20.8051,77.5147,243.8,6.7,7.1,North,Hillside,High,Low,Barren,Black Cotton,2.74
Amravati,Maharashtra,AMR_023,20.6897,77.9014,210.6,6.7,244.6,West,Hillside,High,Low,Forest,Red Laterite,2.8
Amravati,Maharashtra,AMR_024,20.8304,77.642,264.4,5.3,46.5,East,Hillside,High,Low,Forest,Alluvial,3.61
Amravati,Maharashtra,AMR_025,21.1667,77.8708,248.5,2.4,185.8,South,Hillside,High,Low,Agricultural,Black Cotton,4.4
Amravati,Maharashtra,AMR_026,20.6946,77.7841,305.1,8.8,252.2,West,Hillside,High,Low,Agricultural,Rocky,1.16
Amravati,Maharashtra,AMR_027,20.8036,77.5818,237.4,6.1,269.6,West,Hillside,High,Low,Agricultural,Alluvial,2.75
Amravati,Maharashtra,AMR_028,20.6883,77.6675,343.9,9.3,203.5,South,Hillside,High,Low,Agricultural,Sandy,1.42
Amravati,Maharashtra,AMR_029,21.1048,77.5804,216.9,8.7,223.5,South,Hillside,High,Low,Water Body,Black Cotton,4.39
Amravati,Maharashtra,AMR_030,20.9148,77.5288,337.4,6.5,100.3,East,Hillside,High,Low,Agricultural,Black Cotton,2.23
Aurangabad,Maharashtra,AUR_001,19.8788,75.1149,621.2,4.0,175.2,South,Hillside,Moderate,Low,Water Body,Black Cotton,2.29
Aurangabad,Maharashtra,AUR_002,20.0736,75.1407,576.5,4.4,238.2,West,Hillside,Moderate,Low,Barren,Alluvial,1.63
Aurangabad,Maharashtra,AUR_003,19.625,75.4752,432.5,8.1,209.7,South,Hillside,Moderate,Low,Agricultural,Alluvial,2.74
Aurangabad,Maharashtra,AUR_004,19.6851,75.1226,767.3,4.5,110.7,East,Peak,Moderate,Low,Agricultural,Rocky,0.57
Aurangabad,Maharashtra,AUR_005,19.6634,75.1258,595.4,9.7,181.0,South,Hillside,Moderate,Low,Urban,Black Cotton,2.58
Aurangabad,Maharashtra,AUR_006,19.7648,75.0931,842.5,8.4,315.7,North,Peak,Moderate,Low,Barren,Red Laterite,4.32
Aurangabad,Maharashtra,AUR_007,19.8472,75.0562,498.1,8.5,339.9,North,Hillside,Moderate,Low,Barren,Sandy,2.17
Aurangabad,Maharashtra,AUR_008,19.9643,75.3294,307.8,5.8,163.0,South,Valley,High,Low,Urban,Rocky,4.08
Aurangabad,Maharashtra,AUR_009,19.5856,75.1551,667.6,0.0,304.4,West,Hillside,Moderate,Low,Forest,Alluvial,3.67
Aurangabad,Maharashtra,AUR_010,19.8414,75.2859,820.8,8.3,177.2,South,Peak,Moderate,Low,Forest,Black Cotton,0.65
Aurangabad,Maharashtra,AUR_011,19.9194,75.5056,619.2,6.2,187.0,South,Hillside,Moderate,Low,Water Body,Black Cotton,2.36
Aurangabad,Maharashtra,AUR_012,20.1711,75.4484,1014.0,5.1,161.6,South,Peak,Low,Low,Agricultural,Alluvial,0.62
Aurangabad,Maharashtra,AUR_013,19.5791,75.5325,463.6,2.1,204.0,South,Hillside,Moderate,Low,Agricultural,Red Laterite,1.03
Aurangabad,Maharashtra,AUR_014,19.6348,75.1926,572.8,4.0,129.6,East,Hillside,Moderate,Low,Forest,Black Cotton,3.57
Aurangabad,Maharashtra,AUR_015,19.7089,75.5861,853.3,9.0,32.3,North,Peak,Moderate,Low,Barren,Black Cotton,2.57
Aurangabad,Maharashtra,AUR_016,19.8625,75.2255,845.3,7.7,54.8,East,Peak,Moderate,Low,Urban,Alluvial,2.73
Aurangabad,Maharashtra,AUR_017,19.9207,75.1297,745.7,4.8,216.7,South,Peak,Moderate,Low,Agricultural,Alluvial,4.11
Aurangabad,Maharashtra,AUR_018,20.0515,75.1921,912.3,4.5,18.2,North,Peak,Low,Low,Water Body,Alluvial,1.07
Aurangabad,Maharashtra,AUR_019,19.5965,75.3494,491.0,6.8,203.3,South,Hillside,Moderate,Low,Urban,Rocky,1.43
Aurangabad,Maharashtra,AUR_020,19.7976,75.1726,545.4,3.5,151.3,South,Hillside,Moderate,Low,Agricultural,Alluvial,3.81
Aurangabad,Maharashtra,AUR_021,20.0736,75.4879,665.0,6.4,75.3,East,Hillside,Moderate,Low,Forest,Alluvial,2.99
Aurangabad,Maharashtra,AUR_022,19.9388,75.2014,631.7,9.4,240.7,West,Hillside,Moderate,Low,Agricultural,Black Cotton,4.06
Aurangabad,Maharashtra,AUR_023,19.9561,75.2718,886.8,7.5,356.3,North,Peak,Moderate,Low,Barren,Black Cotton,1.71
Aurangabad,Maharashtra,AUR_024,19.6615,75.5214,656.7,7.2,344.8,North,Hillside,Moderate,Low,Forest,Red Laterite,3.3
Aurangabad,Maharashtra,AUR_025,19.9301,75.0736,783.1,8.2,201.1,South,Peak,Moderate,Low,Forest,Black Cotton,2.79
Aurangabad,Maharashtra,AUR_026,20.0614,75.4966,439.0,7.5,354.6,North,Hillside,Moderate,Low,Agricultural,Red Laterite,1.8
Aurangabad,Maharashtra,AUR_027,20.0023,75.5802,819.6,5.6,105.5,East,Peak,Moderate,Low,Urban,Alluvial,2.0
Aurangabad,Maharashtra,AUR_028,19.7774,75.4344,695.4,7.6,71.1,East,Hillside,Moderate,Low,Agricultural,Black Cotton,1.41
Aurangabad,Maharashtra,AUR_029,20.1506,75.1289,399.6,7.1,340.3,North,Hillside,High,Low,Barren,Red Laterite,1.05
Aurangabad,Maharashtra,AUR_030,19.9938,75.2218,451.4,10.4,20.4,North,Hillside,Moderate,Moderate,Urban,Sandy,1.13
Beed,Maharashtra,BEE_001,18.8714,75.8279,728.2,4.2,211.7,South,Hillside,Moderate,Low,Agricultural,Rocky,4.41
Beed,Maharashtra,BEE_002,18.7199,76.0329,568.6,5.6,305.1,West,Hillside,Moderate,Low,Forest,Red Laterite,3.51
Beed,Maharashtra,BEE_003,18.8026,75.801,498.2,8.2,133.5,East,Hillside,Moderate,Low,Agricultural,Alluvial,3.99
Beed,Maharashtra,BEE_004,19.1557,75.9615,201.2,7.0,96.4,East,Valley,High,Low,Barren,Alluvial,3.49
Beed,Maharashtra,BEE_005,19.0795,75.8388,96.9,5.7,16.6,North,Valley,Very High,Low,Water Body,Black Cotton,3.54
Beed,Maharashtra,BEE_006,18.9487,75.727,685.8,5.6,121.6,East,Hillside,Moderate,Low,Agricultural,Sandy,3.09
Beed,Maharashtra,BEE_007,18.8686,75.7906,802.4,7.8,359.9,North,Peak,Moderate,Low,Urban,Rocky,2.35
Beed,Maharashtra,BEE_008,19.2436,76.0274,724.3,5.7,108.9,East,Hillside,Moderate,Low,Forest,Alluvial,0.98
Beed,Maharashtra,BEE_009,18.8681,75.4826,499.5,9.6,287.5,West,Hillside,Moderate,Low,Forest,Alluvial,4.14
Beed,Maharashtra,BEE_010,19.0103,75.9349,597.3,9.7,226.2,West,Hillside,Moderate,Low,Forest,Rocky,2.65
Beed,Maharashtra,BEE_011,19.0013,76.0165,1011.3,3.3,88.9,East,Peak,Low,Low,Forest,Black Cotton,2.06
Beed,Maharashtra,BEE_012,19.0578,75.8209,469.9,7.0,58.5,East,Hillside,Moderate,Low,Forest,Black Cotton,1.95
Beed,Maharashtra,BEE_013,19.2756,75.5871,588.3,6.6,334.2,North,Hillside,Moderate,Low,Forest,Sandy,1.12
Beed,Maharashtra,BEE_014,19.2004,75.6631,864.5,3.0,52.5,East,Peak,Moderate,Low,Agricultural,Black Cotton,1.56
Beed,Maharashtra,BEE_015,18.7867,75.9247,628.1,4.5,324.5,North,Hillside,Moderate,Low,Urban,Alluvial,3.64
Beed,Maharashtra,BEE_016,19.2641,75.5546,715.8,7.7,75.9,East,Hillside,Moderate,Low,Water Body,Alluvial,2.76
Beed,Maharashtra,BEE_017,18.9873,75.8952,543.3,6.1,269.2,West,Hillside,Moderate,Low,Forest,Rocky,0.74
Beed,Maharashtra,BEE_018,19.192,75.5204,796.8,5.2,140.5,South,Peak,Moderate,Low,Forest,Black Cotton,2.52
Beed,Maharashtra,BEE_019,19.0264,75.9083,822.2,0.9,129.7,East,Peak,Moderate,Low,Agricultural,Red Laterite,2.94
Beed,Maharashtra,BEE_020,18.9428,75.914,717.0,5.0,292.9,West,Hillside,Moderate,Low,Forest,Alluvial,2.64
Beed,Maharashtra,BEE_021,19.0678,75.9938,741.3,8.4,257.5,West,Hillside,Moderate,Low,Urban,Sandy,2.84
Beed,Maharashtra,BEE_022,18.7182,75.5932,445.3,10.8,240.1,West,Hillside,Moderate,Moderate,Forest,Red Laterite,0.91
Beed,Maharashtra,BEE_023,18.7663,75.4869,793.7,9.9,281.5,West,Peak,Moderate,Low,Forest,Rocky,3.39
Beed,Maharashtra,BEE_024,18.8699,75.7054,635.1,7.6,296.9,West,Hillside,Moderate,Low,Forest,Red Laterite,0.95
Beed,Maharashtra,BEE_025,19.2649,75.8971,524.6,4.6,353.7,North,Hillside,Moderate,Low,Agricultural,Black Cotton,4.33
Beed,Maharashtra,BEE_026,19.2003,75.4974,359.3,4.8,155.5,South,Valley,High,Low,Agricultural,Red Laterite,2.82
Beed,Maharashtra,BEE_027,18.7862,75.4706,578.0,7.2,270.0,West,Hillside,Moderate,Low,Agricultural,Sandy,3.67
Beed,Maharashtra,BEE_028,19.1022,75.7829,611.0,3.4,172.0,South,Hillside,Moderate,Low,Barren,Black Cotton,4.39
Beed,Maharashtra,BEE_029,19.2623,75.7484,827.6,3.5,270.9,West,Peak,Moderate,Low,Barren,Rocky,4.12
Beed,Maharashtra,BEE_030,18.7898,75.7618,410.6,7.5,355.7,North,Hillside,Moderate,Low,Barren,Sandy,3.93
Bhandara,Maharashtra,BHA_001,21.1676,79.4479,484.7,2.1,162.9,South,Peak,Moderate,Low,Forest,Alluvial,3.62
Bhandara,Maharashtra,BHA_002,21.4538,79.9186,277.0,3.9,60.7,East,Hillside,High,Low,Agricultural,Black Cotton,1.41
Bhandara,Maharashtra,BHA_003,21.211,79.379,302.7,6.7,205.4,South,Hillside,High,Low,Agricultural,Red Laterite,2.0
Bhandara,Maharashtra,BHA_004,21.2901,79.8594,345.0,2.8,157.2,South,Peak,High,Low,Forest,Black Cotton,3.17
Bhandara,Maharashtra,BHA_005,21.3294,79.8227,308.2,4.8,300.9,West,Hillside,High,Low,Forest,Black Cotton,2.13
Bhandara,Maharashtra,BHA_006,21.1536,79.8458,247.0,3.3,249.6,West,Hillside,High,Low,Urban,Sandy,2.08
Bhandara,Maharashtra,BHA_007,21.126,79.9189,242.3,2.4,116.9,East,Hillside,High,Low,Agricultural,Black Cotton,1.45
Bhandara,Maharashtra,BHA_008,21.11,79.5365,227.0,3.9,296.1,West,Hillside,High,Low,Forest,Alluvial,3.32
Bhandara,Maharashtra,BHA_009,21.1796,79.5991,159.7,4.9,147.3,South,Hillside,High,Low,Agricultural,Alluvial,1.06
Bhandara,Maharashtra,BHA_010,21.1071,79.3879,261.0,6.4,61.1,East,Hillside,High,Low,Agricultural,Black Cotton,2.27
Bhandara,Maharashtra,BHA_011,21.3644,79.7165,290.4,4.9,46.0,East,Hillside,High,Low,Agricultural,Black Cotton,0.85
Bhandara,Maharashtra,BHA_012,21.0754,79.6432,236.1,3.7,20.5,North,Hillside,High,Low,Agricultural,Black Cotton,3.39
Bhandara,Maharashtra,BHA_013,21.218,79.6838,301.3,5.7,62.4,East,Hillside,High,Low,Forest,Red Laterite,0.98
Bhandara,Maharashtra,BHA_014,20.8671,79.5949,172.8,9.5,227.9,West,Hillside,High,Low,Agricultural,Alluvial,0.82
Bhandara,Maharashtra,BHA_015,21.0198,79.5857,211.0,1.5,54.8,East,Hillside,High,Low,Forest,Black Cotton,2.69
Bhandara,Maharashtra,BHA_016,21.0725,79.552,342.8,6.2,327.2,North,Peak,High,Low,Forest,Red Laterite,3.02
Bhandara,Maharashtra,BHA_017,21.2389,79.3581,215.0,6.4,188.9,South,Hillside,High,Low,Agricultural,Alluvial,1.35
Bhandara,Maharashtra,BHA_018,21.2681,79.3833,152.4,3.8,276.4,West,Valley,High,Low,Agricultural,Alluvial,2.3
Bhandara,Maharashtra,BHA_019,21.4484,79.7939,249.4,4.8,247.9,West,Hillside,High,Low,Urban,Red Laterite,3.67
Bhandara,Maharashtra,BHA_020,21.164,79.8146,402.6,6.4,159.0,South,Peak,Moderate,Low,Forest,Black Cotton,0.59
Bhandara,Maharashtra,BHA_021,21.0488,79.8586,263.5,4.6,28.7,North,Hillside,High,Low,Forest,Alluvial,3.7
Bhandara,Maharashtra,BHA_022,21.1727,79.6646,260.0,3.5,351.1,North,Hillside,High,Low,Agricultural,Rocky,2.58
Bhandara,Maharashtra,BHA_023,21.0036,79.7077,101.4,8.0,23.8,North,Valley,High,Low,Forest,Black Cotton,1.51
Bhandara,Maharashtra,BHA_024,21.4345,79.65,172.1,5.2,304.8,West,Hillside,High,Low,Water Body,Rocky,3.28
Bhandara,Maharashtra,BHA_025,21.1842,79.3994,260.7,7.8,261.7,West,Hillside,High,Low,Agricultural,Rocky,2.09
Bhandara,Maharashtra,BHA_026,21.0292,79.6727,401.7,2.8,312.5,West,Peak,Moderate,Low,Barren,Sandy,4.09
Bhandara,Maharashtra,BHA_027,20.9514,79.5887,242.8,3.8,281.0,West,Hillside,High,Low,Barren,Rocky,1.3
Bhandara,Maharashtra,BHA_028,20.9244,79.5117,386.6,6.6,280.6,West,Peak,High,Low,Forest,Alluvial,1.85
Bhandara,Maharashtra,BHA_029,20.9859,79.8925,246.0,4.4,19.0,North,Hillside,High,Low,Urban,Black Cotton,3.65
Bhandara,Maharashtra,BHA_030,21.387,79.5914,236.6,7.6,19.1,North,Hillside,High,Low,Forest,Sandy,1.77
Buldhana,Maharashtra,BUL_001,20.6245,76.4134,460.6,4.3,243.0,West,Hillside,Moderate,Low,Agricultural,Red Laterite,0.77
Buldhana,Maharashtra,BUL_002,20.391,75.9362,347.8,4.5,256.2,West,Hillside,High,Low,Agricultural,Black Cotton,1.27
Buldhana,Maharashtra,BUL_003,20.5626,76.1843,664.7,8.7,189.0,South,Peak,Moderate,Low,Agricultural,Alluvial,4.49
Buldhana,Maharashtra,BUL_004,20.3266,76.2769,665.8,4.0,307.7,West,Peak,Moderate,Low,Urban,Alluvial,2.23
Buldhana,Maharashtra,BUL_005,20.5159,76.2287,500.0,4.7,80.5,East,Hillside,Moderate,Low,Agricultural,Rocky,4.42
Buldhana,Maharashtra,BUL_006,20.6896,75.8878,111.8,6.2,53.5,East,Valley,High,Low,Agricultural,Alluvial,1.11
Buldhana,Maharashtra,BUL_007,20.3163,76.1632,561.5,9.3,235.4,West,Hillside,Moderate,Low,Urban,Red Laterite,2.74
Buldhana,Maharashtra,BUL_008,20.6256,76.1892,522.5,2.5,129.1,East,Hillside,Moderate,Low,Agricultural,Black Cotton,4.29
Buldhana,Maharashtra,BUL_009,20.2671,76.0188,244.1,5.4,341.0,North,Valley,High,Low,Urban,Red Laterite,0.69
Buldhana,Maharashtra,BUL_010,20.4684,76.3498,517.3,10.2,243.3,West,Hillside,Moderate,Moderate,Forest,Red Laterite,2.22
Buldhana,Maharashtra,BUL_011,20.6348,75.9016,656.0,5.6,108.6,East,Peak,Moderate,Low,Forest,Alluvial,1.22
Buldhana,Maharashtra,BUL_012,20.7674,76.4286,457.8,3.1,310.7,West,Hillside,Moderate,Low,Urban,Red Laterite,1.6
Buldhana,Maharashtra,BUL_013,20.4695,76.1205,442.1,6.6,105.0,East,Hillside,Moderate,Low,Agricultural,Alluvial,3.33
Buldhana,Maharashtra,BUL_014,20.5579,75.9326,590.5,8.6,163.7,South,Peak,Moderate,Low,Agricultural,Black Cotton,0.73
Buldhana,Maharashtra,BUL_015,20.5743,76.0454,683.3,6.2,4.3,North,Peak,Moderate,Low,Barren,Red Laterite,2.88
Buldhana,Maharashtra,BUL_016,20.367,76.3626,407.7,12.8,89.1,East,Hillside,Moderate,Moderate,Agricultural,Rocky,3.65
Buldhana,Maharashtra,BUL_017,20.28,76.0685,604.7,6.6,326.5,North,Peak,Moderate,Low,Urban,Alluvial,1.43
Buldhana,Maharashtra,BUL_018,20.5027,76.378,297.4,8.2,113.4,East,Hillside,High,Low,Forest,Black Cotton,3.8
Buldhana,Maharashtra,BUL_019,20.2955,76.3223,404.1,5.0,256.7,West,Hillside,Moderate,Low,Forest,Red Laterite,4.43
Buldhana,Maharashtra,BUL_020,20.4037,76.0188,516.0,5.6,128.2,East,Hillside,Moderate,Low,Forest,Alluvial,3.59
