district,state,total_population,male_population,female_population,urban_population,rural_population,population_density_per_km2,households,area_km2,literacy_rate_pct,below_poverty_line_pct,sc_population_pct,st_population_pct,main_workers,agricultural_workers_pct,latitude,longitude,elevation_m,avg_slope_deg,flood_prone,primary_river,vulnerability_index
Mumbai City,Maharashtra,3085411,1549250,1520911,1601607,2187466,1530,693245,10448,83.3,14.0,13.2,15.7,1034168,29.3,18.9388,72.8354,11,2,True,Mithi,5.6
Mumbai Suburban,Maharashtra,9356962,4741622,4658942,3768465,2655523,2759,1865540,8373,91.3,23.8,16.3,7.7,3514188,24.0,19.076,72.8777,14,3,True,Ulhas,5.35
Nagpur,Maharashtra,4653570,2402746,2309804,1916743,2222493,358,938980,13277,88.3,11.4,10.5,8.5,1859119,47.3,21.1458,79.0882,310,5,True,Nag,7.73
Nanded,Maharashtra,3356566,1696433,1666554,944383,2156320,331,769590,13117,80.5,30.9,12.6,15.9,1179018,43.9,19.1383,77.321,360,6,False,Godavari,2.77
Nandurbar,Maharashtra,1648295,829959,811935,1074278,1267772,564,342496,8182,81.9,23.1,8.1,22.5,625935,27.1,21.3667,74.2333,200,10,True,Tapi,6.02
Nashik,Maharashtra,6107187,3075166,2947926,3323102,3853409,427,1277791,2300,84.8,12.6,11.1,18.5,2422143,28.1,19.9975,73.7898,700,9,False,Godavari,2.69
Osmanabad,Maharashtra,1657576,842437,799012,458873,1246964,223,390461,4755,76.3,18.8,14.1,20.4,690051,28.0,18.186,76.04,661,7,False,Bhima,2.73
Palghar,Maharashtra,2990116,1503203,1445742,1903203,1234235,256,696319,8151,76.0,22.9,14.0,15.1,1224181,59.5,19.6967,72.7653,30,12,True,Vaitarna,7.47
Parbhani,Maharashtra,1836086,948746,899003,1269139,718690,183,403284,5131,91.4,26.1,13.1,24.7,648303,34.0,19.2667,76.7667,409,6,False,Purna,2.41
Pune,Maharashtra,9429408,4815229,4622626,3720971,4812894,1630,2192655,6062,75.6,14.4,17.1,11.2,3644234,63.6,18.5204,73.8567,720,10,True,Mula-Mutha,4.52
Raigad,Maharashtra,2634200,1317905,1305020,980213,682268,181,581638,11673,77.9,31.4,11.7,21.1,887139,59.4,18.5158,73.1804,320,15,True,Amba,6.9
Ratnagiri,Maharashtra,1615069,826802,804726,593464,502676,282,343639,9273,74.1,25.1,14.2,10.1,630829,47.6,16.9902,73.312,280,18,True,Shastri,6.09
Sangli,Maharashtra,2822143,1413567,1382686,1067797,1770740,317,568273,11946,85.8,21.5,9.4,24.3,1194476,59.8,16.8524,74.5815,701,8,True,Krishna,4.04
Satara,Maharashtra,3003741,1561829,1493102,1612814,1058750,364,594065,9054,78.2,16.4,11.8,12.6,1278688,26.0,17.6805,74.0183,750,12,True,Krishna,5.09
Sindhudurg,Maharashtra,849651,428806,411821,252022,244083,252,195746,4855,80.8,21.2,18.0,5.4,292646,45.9,16.35,73.8667,100,20,True,Tillari,5.46
Solapur,Maharashtra,4317756,2178309,2089028,2182334,3164822,1481,904980,2281,91.3,11.8,13.1,18.0,1585183,42.3,17.6599,75.9064,479,5,False,Bhima,2.32
Thane,Maharashtra,11060148,5744998,5411145,4337360,3494312,1442,2292662,12628,75.4,11.3,11.9,12.1,3719876,52.1,19.2183,72.9781,15,8,True,Ulhas,7.71
Wardha,Maharashtra,1300774,655443,625603,418559,749313,130,266229,6749,89.0,29.2,10.1,12.5,435749,32.5,20.7453,78.6022,287,5,True,Wardha,7.11
Washim,Maharashtra,1196714,600688,576244,714009,319474,196,270446,3720,90.0,23.9,11.8,14.2,480329,29.6,20.1119,77.1333,420,6,False,Arunavati,4.56
Yavatmal,Maharashtra,2772348,1417354,1382768,1944400,2146782,1776,618673,12630,88.6,31.3,15.4,5.6,1120601,55.3,20.3888,78.1204,460,7,True,Wardha,7.37
