river,state,district,year,month,water_level_m,discharge_cumecs,warning_level_m,danger_level_m,status,flood_alert
Krishna,Maharashtra,Sangli,2002,1,2.32,2565.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2002,2,2.23,3252.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2002,3,3.41,3115.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2002,4,3.41,3313.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2002,5,5.85,5214.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2002,6,10.89,10806.7,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2002,7,18.12,15239.6,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2002,8,13.65,16954.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2002,9,10.15,14158.5,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2002,10,8.18,7813.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2002,11,4.95,4047.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2002,12,3.02,3818.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,1,2.13,2568.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,2,2.3,2596.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,3,3.02,2933.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,4,3.41,4364.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,5,5.23,6635.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,6,9.61,8059.1,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2003,7,13.32,17438.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2003,8,11.38,12195.4,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2003,9,9.27,12195.8,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2003,10,7.54,8346.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,11,4.6,6336.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2003,12,2.84,2418.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,1,2.45,3127.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,2,2.52,2289.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,3,3.36,4373.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,4,4.22,3982.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,5,5.58,8008.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,6,11.14,13554.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2004,7,12.21,18310.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2004,8,13.84,14804.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2004,9,9.99,13853.3,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2004,10,6.51,7622.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,11,4.18,5476.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2004,12,2.92,3632.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,1,2.41,2570.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,2,2.26,1819.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,3,2.65,2236.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,4,3.38,3708.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,5,5.24,6035.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,6,12.11,14984.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2005,7,19.07,27078.2,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2005,8,20.44,29042.4,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2005,9,10.17,13310.1,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2005,10,8.35,12205.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,11,4.66,6021.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2005,12,2.79,3218.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,1,2.31,1997.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,2,2.13,1827.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,3,3.03,3382.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,4,3.32,4371.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,5,5.54,7859.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,6,10.45,13313.3,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2006,7,10.19,10270.8,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2006,8,14.13,15723.4,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2006,9,8.77,10098.4,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2006,10,7.53,6950.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,11,5.15,5501.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2006,12,3.25,4122.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,1,2.52,2658.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,2,2.34,1947.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,3,2.89,3757.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,4,3.68,3350.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,5,5.53,5032.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,6,11.65,9941.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2007,7,14.99,13178.7,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2007,8,13.8,16289.0,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2007,9,8.81,8520.3,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2007,10,7.96,9146.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,11,5.11,4939.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2007,12,3.02,4423.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,1,2.02,1807.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,2,2.19,2551.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,3,2.37,3140.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,4,3.21,3995.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,5,5.21,6364.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,6,11.58,12375.0,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2008,7,14.37,18626.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2008,8,13.64,19415.9,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2008,9,9.73,9294.2,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2008,10,7.22,7122.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,11,4.59,5176.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2008,12,3.4,4314.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,1,1.78,2550.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,2,2.39,2556.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,3,2.67,2669.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,4,2.93,3600.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,5,5.0,5125.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,6,11.29,12412.6,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2009,7,13.59,12869.2,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2009,8,15.66,18608.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2009,9,8.92,9932.0,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2009,10,7.21,9918.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,11,4.09,5960.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2009,12,3.15,3542.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,1,2.31,2590.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,2,2.08,1791.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,3,3.4,2771.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,4,4.4,4533.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,5,5.52,5737.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,6,9.58,8457.6,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2010,7,14.94,15740.7,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2010,8,13.55,17280.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2010,9,9.79,13786.2,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2010,10,5.96,8315.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,11,4.2,4272.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2010,12,3.35,3434.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,1,2.26,2421.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,2,1.97,1710.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,3,2.92,3807.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,4,3.52,3426.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,5,4.58,6607.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,6,10.18,13535.0,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2011,7,12.8,13933.0,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2011,8,11.43,10301.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2011,9,8.77,7804.7,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2011,10,8.03,6632.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,11,4.3,3672.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2011,12,3.16,3252.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,1,2.49,2351.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,2,2.04,2269.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,3,3.22,2667.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,4,3.51,3904.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,5,5.05,5156.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,6,9.24,12595.1,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2012,7,15.21,15946.2,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2012,8,16.3,17025.7,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2012,9,9.94,11195.2,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2012,10,7.38,10162.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,11,4.41,3855.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2012,12,2.94,2620.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,1,2.21,2361.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,2,2.56,2780.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,3,2.53,3050.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,4,3.16,4435.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,5,6.05,5584.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,6,9.42,13895.7,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2013,7,14.2,19325.9,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2013,8,14.01,12082.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2013,9,7.82,11373.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,10,5.98,8702.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,11,4.35,6478.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2013,12,2.67,3900.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,1,2.66,2618.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,2,2.42,1941.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,3,3.49,5024.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,4,3.71,5474.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,5,4.98,5253.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,6,12.12,14062.2,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2014,7,13.68,18878.8,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2014,8,12.82,11080.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2014,9,9.88,12261.6,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2014,10,6.8,9504.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,11,5.27,6682.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2014,12,3.52,4327.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,1,2.49,3049.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,2,2.36,2069.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,3,2.65,2701.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,4,4.05,3831.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,5,5.36,7612.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,6,9.56,9130.7,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2015,7,13.88,18688.9,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2015,8,15.54,23166.7,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2015,9,8.99,10895.8,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2015,10,7.71,8188.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,11,4.85,7040.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2015,12,2.94,3246.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,1,2.38,3099.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,2,2.22,2419.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,3,3.11,2725.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,4,3.44,3722.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,5,5.67,4805.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,6,11.7,12623.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2016,7,12.93,13532.6,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2016,8,12.6,11564.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2016,9,7.78,7702.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,10,7.66,9880.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,11,4.37,3983.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2016,12,3.46,3390.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,1,2.18,3079.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,2,2.37,3465.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,3,3.02,4005.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,4,3.31,3615.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,5,6.04,8326.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,6,11.07,15091.9,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2017,7,15.68,18023.2,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2017,8,15.39,13157.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2017,9,10.35,14879.7,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2017,10,7.02,5924.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,11,4.43,6398.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2017,12,3.12,4265.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,1,2.49,2885.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,2,2.53,2131.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,3,2.71,3749.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,4,3.4,4809.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,5,5.77,8255.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,6,11.41,14607.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2018,7,13.89,11658.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2018,8,13.81,15472.7,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2018,9,9.48,14116.6,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2018,10,5.22,7249.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,11,5.5,7643.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2018,12,2.98,3626.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,1,2.34,2997.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,2,2.38,2261.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,3,2.68,3698.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,4,2.6,2997.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,5,4.82,5028.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,6,10.93,14667.6,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2019,7,23.98,27052.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2019,8,23.11,32730.2,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2019,9,9.04,9482.9,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2019,10,6.96,7988.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,11,4.44,6566.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2019,12,3.0,4325.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,1,2.67,2582.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,2,2.15,2128.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,3,3.08,2768.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,4,3.18,4573.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,5,4.99,6473.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,6,10.6,12751.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2020,7,16.51,21342.6,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2020,8,12.44,16229.4,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2020,9,12.09,13200.8,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2020,10,5.91,5894.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,11,5.44,7986.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2020,12,3.2,3353.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,1,1.9,1904.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,2,2.41,2982.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,3,3.38,3303.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,4,3.14,2985.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,5,5.46,6045.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,6,8.63,12667.3,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2021,7,21.32,23337.3,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2021,8,20.7,18389.5,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2021,9,8.81,8492.8,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2021,10,7.9,11464.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,11,5.75,7700.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2021,12,2.78,2394.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2022,1,2.34,2253.9,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2022,2,2.18,1888.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2022,3,3.08,3854.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2022,4,3.58,4815.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2022,5,5.11,6248.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2022,6,9.06,7445.8,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2022,7,15.03,16461.1,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2022,8,12.72,14618.8,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2022,9,8.67,9329.6,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2022,10,8.5,11668.2,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2022,11,4.8,4398.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2022,12,3.03,4425.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,1,2.12,2028.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,2,2.1,2561.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,3,2.61,3764.0,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,4,3.98,5770.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,5,5.1,4679.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,6,12.11,15675.8,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2023,7,18.62,27186.8,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2023,8,12.88,16241.4,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2023,9,10.36,15404.7,8.5,10.5,Above Warning,True
Krishna,Maharashtra,Sangli,2023,10,6.58,5284.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,11,4.75,6394.6,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2023,12,2.37,3466.4,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,1,2.58,3611.8,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,2,2.45,3009.3,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,3,2.62,2184.5,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,4,3.76,4315.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,5,6.08,7197.7,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,6,10.55,11479.6,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2024,7,16.47,20070.6,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2024,8,13.13,16065.8,8.5,10.5,Above Danger,True
Krishna,Maharashtra,Sangli,2024,9,6.92,5892.1,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,10,8.34,11771.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,11,4.13,6109.2,8.5,10.5,Normal,False
Krishna,Maharashtra,Sangli,2024,12,2.63,2418.4,8.5,10.5,Normal,False
Panchganga,Maharashtra,Kolhapur,2000,1,10.16,11338.6,42.0,44.0,Normal,False
Panchganga,Maharashtra,Kolhapur,2000,2,11.01,9847.4,42.0,44.0,Normal,False
Panchganga,Maharashtra,Kolhapur,2000,3,14.5,15671.9,42.0,44.0,Normal,False
Panchganga,Maharashtra,Kolhapur,2000,4,17.4,14281.9,42.0,44.0,Normal,False
